DsplayName,ES_NGUID
CACHE COUNTY SHERIFFS OFFICE,LAW1@gis.utah.gov
DUCHESNE COUNTY SHERIFFS OFFICE,LAW2@gis.utah.gov
DAVIS COUNTY SHERIFFS OFFICE,LAW3@gis.utah.gov
MILLARD COUNTY SHERIFFS OFFICE,LAW4@gis.utah.gov
WASATCH COUNTY SHERIFFS OFFICE,LAW5@gis.utah.gov
BOX ELDER COUNTY SHERIFFS OFFICE,LAW6@gis.utah.gov
WEBER COUNTY SHERIFFS OFFICE,LAW7@gis.utah.gov
JUAB COUNTY SHERIFFS OFFICE,LAW8@gis.utah.gov
SANPETE COUNTY SHERIFFS OFFICE,LAW9@gis.utah.gov
WASHINGTON COUNTY SHERIFFS OFFICE,LAW10@gis.utah.gov
GRAND COUNTY SHERIFFS OFFICE,LAW11@gis.utah.gov
RICH COUNTY SHERIFFS OFFICE,LAW12@gis.utah.gov
CARBON COUNTY SHERIFFS OFFICE,LAW13@gis.utah.gov
DAGGETT COUNTY SHERIFFS OFFICE,LAW14@gis.utah.gov
BEAVER COUNTY SHERIFFS OFFICE,LAW15@gis.utah.gov
SEVIER COUNTY SHERIFFS OFFICE,LAW16@gis.utah.gov
GARFIELD COUNTY SHERIFFS OFFICE,LAW17@gis.utah.gov
TOOELE COUNTY SHERIFFS OFFICE,LAW18@gis.utah.gov
SUMMIT COUNTY SHERIFFS OFFICE,LAW19@gis.utah.gov
PIUTE COUNTY SHERIFFS OFFICE,LAW20@gis.utah.gov
UINTAH COUNTY SHERIFFS OFFICE,LAW21@gis.utah.gov
IRON COUNTY SHERIFFS OFFICE,LAW22@gis.utah.gov
EMERY COUNTY SHERIFFS OFFICE,LAW23@gis.utah.gov
WAYNE COUNTY SHERIFFS OFFICE,LAW24@gis.utah.gov
SAN JUAN COUNTY SHERIFFS OFFICE,LAW25@gis.utah.gov
MORGAN COUNTY SHERIFFS OFFICE,LAW26@gis.utah.gov
KANE COUNTY SHERIFFS OFFICE,LAW27@gis.utah.gov
UNIFIED POLICE DEPARTMENT,LAW28@gis.utah.gov
UTAH COUNTY SHERIFFS OFFICE,LAW29@gis.utah.gov
ALTA MARSHAL,LAW30@gis.utah.gov
AMERICAN FORK POLICE DEPARTMENT,LAW31@gis.utah.gov
AURORA POLICE DEPARTMENT,LAW32@gis.utah.gov
BLANDING POLICE DEPARTMENT,LAW33@gis.utah.gov
BOUNTIFUL POLICE DEPARTMENT,LAW34@gis.utah.gov
BRIAN HEAD PUBLIC SAFETY,LAW35@gis.utah.gov
BRIGHAM CITY POLICE DEPARTMENT,LAW36@gis.utah.gov
CEDAR CITY POLICE DEPARTMENT,LAW37@gis.utah.gov
CENTERFIELD POLICE DEPARTMENT,LAW38@gis.utah.gov
CENTERVILLE POLICE DEPARTMENT,LAW39@gis.utah.gov
CLEARFIELD POLICE DEPARTMENT,LAW40@gis.utah.gov
CLINTON POLICE DEPARTMENT,LAW41@gis.utah.gov
COTTONWOOD HEIGHTS POLICE DEPARTMENT,LAW42@gis.utah.gov
DRAPER POLICE DEPARTMENT,LAW43@gis.utah.gov
EAST CARBON POLICE DEPARTMENT,LAW44@gis.utah.gov
ENOCH POLICE DEPARTMENT,LAW45@gis.utah.gov
ENTERPRISE POLICE DEPARTMENT,LAW46@gis.utah.gov
EPHRAIM POLICE DEPARTMENT,LAW47@gis.utah.gov
ESCALANTE POLICE DEPARTMENT,LAW48@gis.utah.gov
FAIRFIELD POLICE DEPARTMENT,LAW49@gis.utah.gov
FAIRVIEW POLICE DEPARTMENT,LAW50@gis.utah.gov
FARMINGTON POLICE DEPARTMENT,LAW51@gis.utah.gov
FOUNTAIN GREEN POLICE DEPARTMENT,LAW52@gis.utah.gov
GRANTSVILLE POLICE DEPARTMENT,LAW53@gis.utah.gov
GUNNISON POLICE DEPARTMENT,LAW54@gis.utah.gov
HARRISVILLE POLICE DEPARTMENT,LAW55@gis.utah.gov
HEBER CITY POLICE DEPARTMENT,LAW56@gis.utah.gov
HELPER POLICE DEPARTMENT,LAW57@gis.utah.gov
HERRIMAN POLICE DEPARTMENT,LAW58@gis.utah.gov
HILDALE POLICE DEPARTMENT,LAW59@gis.utah.gov
HURRICANE POLICE DEPARTMENT,LAW60@gis.utah.gov
KAMAS POLICE DEPARTMENT,LAW61@gis.utah.gov
KANAB POLICE DEPARTMENT,LAW62@gis.utah.gov
KAYSVILLE POLICE DEPARTMENT,LAW63@gis.utah.gov
LA VERKIN POLICE DEPARTMENT,LAW64@gis.utah.gov
LAYTON POLICE DEPARTMENT,LAW65@gis.utah.gov
LEHI POLICE DEPARTMENT,LAW66@gis.utah.gov
LINDON POLICE DEPARTMENT,LAW67@gis.utah.gov
LOGAN POLICE DEPARTMENT,LAW68@gis.utah.gov
MANTUA POLICE DEPARTMENT,LAW69@gis.utah.gov
MAPLETON POLICE DEPARTMENT,LAW70@gis.utah.gov
MOAB POLICE DEPARTMENT,LAW71@gis.utah.gov
MORONI POLICE DEPARTMENT,LAW73@gis.utah.gov
MOUNT PLEASANT POLICE DEPARTMENT,LAW74@gis.utah.gov
MURRAY POLICE DEPARTMENT,LAW75@gis.utah.gov
NAPLES POLICE DEPARTMENT,LAW76@gis.utah.gov
NEPHI POLICE DEPARTMENT,LAW77@gis.utah.gov
NORTH OGDEN POLICE DEPARTMENT,LAW78@gis.utah.gov
NORTH SALT LAKE POLICE DEPARTMENT,LAW79@gis.utah.gov
OGDEN POLICE DEPARTMENT,LAW80@gis.utah.gov
OREM POLICE DEPARTMENT,LAW81@gis.utah.gov
PARK CITY POLICE DEPARTMENT,LAW82@gis.utah.gov
PAYSON POLICE DEPARTMENT,LAW83@gis.utah.gov
PERRY POLICE DEPARTMENT,LAW84@gis.utah.gov
PLAIN CITY POLICE DEPARTMENT,LAW85@gis.utah.gov
PLEASANT GROVE POLICE DEPARTMENT,LAW86@gis.utah.gov
PLEASANT VIEW POLICE DEPARTMENT,LAW87@gis.utah.gov
PRICE POLICE DEPARTMENT,LAW88@gis.utah.gov
PROVO POLICE DEPARTMENT,LAW89@gis.utah.gov
RICHFIELD POLICE DEPARTMENT,LAW90@gis.utah.gov
RIVERDALE POLICE DEPARTMENT,LAW91@gis.utah.gov
ROOSEVELT POLICE DEPARTMENT,LAW92@gis.utah.gov
ROY POLICE DEPARTMENT,LAW93@gis.utah.gov
SALEM POLICE DEPARTMENT,LAW94@gis.utah.gov
SALINA POLICE DEPARTMENT,LAW95@gis.utah.gov
SALT LAKE CITY POLICE DEPARTMENT,LAW96@gis.utah.gov
SANDY POLICE DEPARTMENT,LAW97@gis.utah.gov
SMITHFIELD POLICE DEPARTMENT,LAW98@gis.utah.gov
SOUTH JORDAN POLICE DEPARTMENT,LAW99@gis.utah.gov
SOUTH OGDEN POLICE DEPARTMENT,LAW100@gis.utah.gov
SOUTH SALT LAKE POLICE DEPARTMENT,LAW101@gis.utah.gov
SPANISH FORK POLICE DEPARTMENT,LAW102@gis.utah.gov
SPRING CITY POLICE DEPARTMENT,LAW103@gis.utah.gov
SPRINGVILLE POLICE DEPARTMENT,LAW104@gis.utah.gov
ST. GEORGE POLICE DEPARTMENT,LAW105@gis.utah.gov
STOCKTON POLICE DEPARTMENT,LAW106@gis.utah.gov
SUNSET POLICE DEPARTMENT,LAW107@gis.utah.gov
SYRACUSE POLICE DEPARTMENT,LAW108@gis.utah.gov
TOOELE POLICE DEPARTMENT,LAW109@gis.utah.gov
VERNAL POLICE DEPARTMENT,LAW110@gis.utah.gov
WASHINGTON POLICE DEPARTMENT,LAW111@gis.utah.gov
WELLINGTON POLICE DEPARTMENT,LAW112@gis.utah.gov
WENDOVER POLICE DEPARTMENT,LAW113@gis.utah.gov
WEST BOUNTIFUL POLICE DEPARTMENT,LAW114@gis.utah.gov
WEST JORDAN POLICE DEPARTMENT,LAW115@gis.utah.gov
WEST VALLEY CITY POLICE DEPARTMENT,LAW116@gis.utah.gov
WILLARD POLICE DEPARTMENT,LAW117@gis.utah.gov
WOODS CROSS POLICE DEPARTMENT,LAW118@gis.utah.gov
LONE PEAK POLICE DEPARTMENT,LAW119@gis.utah.gov
NORTH PARK POLICE DEPARTMENT,LAW120@gis.utah.gov
PAROWAN POLICE DEPARTMENT,LAW121@gis.utah.gov
