DsplayName,ES_NGUID
Logan City Communications Center,PSAP1@gis.utah.gov
Davis County Sheriff's Office,PSAP2@gis.utah.gov
Millard County Sheriff's Office,PSAP3@gis.utah.gov
Wasatch County Sheriff's Office,PSAP4@gis.utah.gov
Box Elder Communications Center/State DPS,PSAP5@gis.utah.gov
Sanpete County Sheriff's Office,PSAP6@gis.utah.gov
St. George Police Department,PSAP7@gis.utah.gov
Grand County Sheriff's Office,PSAP8@gis.utah.gov
Rich County Sheriff's Office,PSAP9@gis.utah.gov
Price Communications Center/State DPS,PSAP10@gis.utah.gov
Beaver County Sheriff's Office,PSAP11@gis.utah.gov
Garfield County Sheriff's Office,PSAP12@gis.utah.gov
Tooele County Sheriff's Office,PSAP13@gis.utah.gov
Summit County Sheriff's Office,PSAP14@gis.utah.gov
Emery County Sheriff's Office,PSAP15@gis.utah.gov
San Juan County Sheriff's Office,PSAP16@gis.utah.gov
Kane County Sheriff's Office,PSAP17@gis.utah.gov
Central Utah 911,PSAP18@gis.utah.gov
Uintah Basin Communications Center/State DPS,PSAP19@gis.utah.gov
Weber Area Dispatch 911,PSAP20@gis.utah.gov
Cedar Communications Center/State DPS,PSAP21@gis.utah.gov
Richfield Communications Center/State DPS,PSAP22@gis.utah.gov
Clearfield City Police Department,PSAP23@gis.utah.gov
Colorado City Dispatch Center,PSAP24@gis.utah.gov
Layton City Police Department,PSAP25@gis.utah.gov
Bountiful City Police Department,PSAP26@gis.utah.gov
Orem City Department of Public Safety,PSAP27@gis.utah.gov
Springville Public Safety,PSAP28@gis.utah.gov
Hill Emergency Communications Center,PSAP29@gis.utah.gov
Navajo Nation,PSAP30@gis.utah.gov
Provo City Police/Fire/EMS,PSAP31@gis.utah.gov
Salt Lake City 911 Communications Bureau,PSAP32@gis.utah.gov
Salt Lake Valley Emergency Communications Center,PSAP33@gis.utah.gov
